CustomerID,Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent,SalaryBand,SpendingBand
1,Old,Female,Own,Single,Far,47500,0,High,6,755,30k-60k,500-999
2,Middle,Male,Rent,Single,Close,63600,0,High,6,1318,60k-90k,"1,000-1,999"
3,Young,Female,Rent,Single,Close,13500,0,Low,18,296,Under 30k,Under 500
4,Middle,Male,Own,Married,Close,85600,1,High,18,2436,60k-90k,"2,000-3,999"
5,Middle,Female,Own,Single,Close,68400,0,High,12,1304,60k-90k,"1,000-1,999"
6,Young,Male,Own,Married,Close,30400,0,Low,6,495,30k-60k,Under 500
7,Middle,Female,Rent,Single,Close,48100,0,Medium,12,782,30k-60k,500-999
8,Middle,Male,Own,Single,Close,68400,0,High,18,1155,60k-90k,"1,000-1,999"
9,Middle,Female,Own,Married,Close,51900,3,Low,6,158,30k-60k,Under 500
10,Old,Male,Own,Married,Far,80700,0,None,18,3034,60k-90k,"2,000-3,999"
11,Young,Male,Rent,Married,Close,43700,1,None,12,927,30k-60k,500-999
12,Middle,Male,Own,Married,Far,111800,3,High,18,2065,90k-120k,"2,000-3,999"
13,Middle,Female,Own,Married,Close,44100,1,Medium,24,704,30k-60k,500-999
14,Middle,Male,Own,Married,Close,111400,0,High,12,2136,90k-120k,"2,000-3,999"
15,Old,Female,Own,Married,Far,110000,0,High,24,5564,90k-120k,"4,000+"
16,Middle,Female,Own,Married,Far,83100,1,None,12,2766,60k-90k,"2,000-3,999"
17,Old,Female,Own,Married,Close,82800,0,High,24,3010,60k-90k,"2,000-3,999"
18,Middle,Male,Own,Married,Close,90100,0,High,18,1956,90k-120k,"1,000-1,999"
19,Middle,Male,Rent,Single,Close,38600,1,Low,18,542,30k-60k,500-999
20,Old,Female,Rent,Single,Far,14000,0,Low,12,410,Under 30k,Under 500
21,Young,Female,Rent,Single,Far,14300,2,Low,6,194,Under 30k,Under 500
22,Young,Male,Rent,Married,Close,49800,0,Medium,12,827,30k-60k,500-999
23,Old,Female,Rent,Married,Far,60200,0,High,18,2328,60k-90k,"2,000-3,999"
24,Young,Male,Rent,Married,Far,43500,1,Medium,12,808,30k-60k,500-999
25,Young,Female,Rent,Married,Close,41700,1,None,6,521,30k-60k,500-999
26,Middle,Female,Own,Married,Close,92300,3,Low,18,655,90k-120k,500-999
27,Middle,Male,Own,Single,Close,62800,3,None,6,707,60k-90k,500-999
28,Middle,Female,Rent,Married,Far,72900,0,High,18,2075,60k-90k,"2,000-3,999"
29,Middle,Female,Rent,Married,Close,66900,2,Medium,12,769,60k-90k,500-999
30,Young,Male,Rent,Single,Close,21700,1,None,18,774,Under 30k,500-999
31,Old,Female,Rent,Married,Close,39700,0,Medium,12,573,30k-60k,500-999
32,Middle,Male,Rent,Married,Far,72200,1,High,12,2082,60k-90k,"2,000-3,999"
33,Middle,Female,Rent,Married,Close,87700,3,None,24,2446,60k-90k,"2,000-3,999"
34,Middle,Male,Own,Married,Close,104100,0,High,24,2636,90k-120k,"2,000-3,999"
35,Middle,Male,Rent,Single,Far,67700,0,High,12,2226,60k-90k,"2,000-3,999"
36,Middle,Female,Own,Single,Close,27000,2,Low,6,183,Under 30k,Under 500
37,Middle,Female,Own,Single,Far,64100,2,High,24,1595,60k-90k,"1,000-1,999"
38,Middle,Male,Rent,Single,Close,47000,1,Medium,12,584,30k-60k,500-999
39,Old,Female,Own,Married,Close,41600,0,None,18,982,30k-60k,500-999
40,Old,Female,Rent,Single,Close,20100,0,Low,24,576,Under 30k,500-999
41,Middle,Male,Own,Single,Close,64000,3,Low,12,410,60k-90k,Under 500
42,Middle,Female,Own,Married,Far,96800,3,None,24,3082,90k-120k,"2,000-3,999"
43,Middle,Male,Rent,Married,Close,76200,1,None,24,2437,60k-90k,"2,000-3,999"
44,Old,Female,Rent,Married,Far,81500,0,High,18,3655,60k-90k,"2,000-3,999"
45,Middle,Female,Own,Single,Close,49600,1,Medium,12,844,30k-60k,500-999
46,Old,Female,Own,Married,Close,111500,0,High,18,2510,90k-120k,"2,000-3,999"
47,Middle,Male,Own,Married,Close,77700,0,None,6,983,60k-90k,500-999
48,Young,Male,Own,Married,Close,58900,0,None,18,1215,30k-60k,"1,000-1,999"
49,Middle,Male,Own,Married,Close,126500,2,High,18,2000,120k+,"2,000-3,999"
50,Middle,Female,Own,Married,Close,83300,1,High,24,2574,60k-90k,"2,000-3,999"
51,Middle,Female,Own,Married,Close,90500,1,High,6,1116,90k-120k,"1,000-1,999"
52,Middle,Female,Own,Married,Far,87200,0,High,18,3604,60k-90k,"2,000-3,999"
53,Middle,Female,Own,Married,Close,105300,1,None,24,3360,90k-120k,"2,000-3,999"
54,Middle,Female,Own,Single,Far,56000,3,Medium,6,530,30k-60k,500-999
55,Middle,Female,Rent,Single,Close,46600,0,Medium,24,906,30k-60k,500-999
56,Old,Male,Rent,Married,Close,69800,0,High,24,2764,60k-90k,"2,000-3,999"
57,Middle,Male,Own,Single,Close,60300,0,High,24,1263,60k-90k,"1,000-1,999"
58,Young,Male,Rent,Married,Close,67800,0,High,12,1084,60k-90k,"1,000-1,999"
59,Middle,Male,Rent,Single,Close,42300,0,Medium,24,1051,30k-60k,"1,000-1,999"
60,Young,Female,Own,Married,Far,33700,0,None,6,614,30k-60k,500-999
61,Middle,Male,Own,Single,Close,62700,2,Medium,12,704,60k-90k,500-999
62,Young,Female,Own,Single,Close,25900,2,None,12,449,Under 30k,Under 500
63,Young,Female,Own,Single,Close,15600,1,Low,6,136,Under 30k,Under 500
64,Old,Female,Own,Single,Close,14600,0,Low,24,468,Under 30k,Under 500
65,Old,Female,Own,Married,Close,62600,0,High,6,565,60k-90k,500-999
66,Young,Male,Rent,Married,Close,66700,0,None,18,1310,60k-90k,"1,000-1,999"
67,Middle,Male,Own,Married,Far,72500,0,None,24,2595,60k-90k,"2,000-3,999"
68,Young,Female,Rent,Single,Far,13200,0,None,24,358,Under 30k,Under 500
69,Middle,Female,Own,Single,Close,51300,0,Medium,24,1424,30k-60k,"1,000-1,999"
70,Middle,Male,Own,Single,Far,72300,0,High,24,4182,60k-90k,"4,000+"
71,Young,Female,Rent,Single,Close,15600,0,None,12,468,Under 30k,Under 500
72,Middle,Female,Own,Married,Far,90400,1,High,18,2924,90k-120k,"2,000-3,999"
73,Middle,Male,Own,Single,Far,71500,0,None,6,964,60k-90k,500-999
74,Young,Male,Rent,Single,Close,14400,0,None,24,615,Under 30k,500-999
75,Young,Male,Rent,Single,Close,15000,3,Low,6,38,Under 30k,Under 500
76,Middle,Male,Own,Single,Close,57600,1,None,6,1006,30k-60k,"1,000-1,999"
77,Young,Female,Rent,Married,Close,60600,3,Low,12,307,60k-90k,Under 500
78,Middle,Male,Own,Married,Far,84300,2,High,18,1648,60k-90k,"1,000-1,999"
79,Young,Female,Own,Single,Close,24400,1,Low,6,220,Under 30k,Under 500
80,Young,Female,Rent,Single,Close,22100,2,Low,18,280,Under 30k,Under 500
81,Middle,Male,Rent,Married,Far,48800,2,None,12,1647,30k-60k,"1,000-1,999"
82,Middle,Female,Own,Married,Close,74700,1,Medium,6,704,60k-90k,500-999
83,Young,Female,Rent,Single,Far,32400,1,Medium,24,920,30k-60k,500-999
84,Old,Female,Own,Single,Close,11400,0,None,6,258,Under 30k,Under 500
